n;a(n);b(n);c(n);d(n);Invariant of a(n);Invariant of b(n);Invariant of c(n);Invariant of d(n)
0;639,467870543068;n. def.;243,921375408285;n. def.;n. def.;n. def.;n. def.;n. def.
1;-215,177038971808;-28,6143649280149;-10,3901045965541;75,6058046599101;1;3,27331089608423E-17;-2,45498317206317E-17;-0,351568676131519
2;0,192301826589665;-0,0205293910004716;0,124590032310865;-0,569368333438343;-0,000830558960774903;0,00032647860351075;0,000129622736519812;0,00268138680421318
3;-19,3935550055833;-8,06919099563545;-3,01388552537446;6,87110882707823;0,0967675790980759;-0,000107004857173064;0,000473163552424071;-0,034558723482676
4;0,102199176991713;0,0281036799467905;-0,0742414033990938;-0,543833402865984;-0,000469401974954547;0,000128076815971521;0,00155518379045029;0,00199416089880926
5;-5,06811544604898;-3,88799015898035;-3,53690808183784;4,38133999591118;0,0294272693627284;-0,000150213438034527;0,000498595291344537;-0,025933754241896
6;0,0337987012580062;0,117234901514222;-0,0845981750884031;-0,37306857496684;-0,000490492123866496;-0,000268118886737624;0,00149557817917629;0,000933980610049745
7;-1,36977329609145;-1,70801004861287;-3,13822212871843;2,08060122182139;0,0100846378755876;-0,000295245379763655;0,00109552051013518;-0,0173095570603799
8;-0,0297059247578365;0,141899758390002;0,208965086923273;-0,286646807824134;-0,000498971919389333;-0,0004400018110477;0,000671381561486847;0,00149103839233122
9;-0,320856425569532;-0,558372178889097;-1,5806399295909;0,472783629508926;0,00294098650939954;-0,000412724263567853;0,00072225593867242;-0,00756480805935734
10;-0,068731182430953;0,0728413856684119;0,287808011125634;-0,104591436851667;-0,000244651435531881;-0,000388551345152734;0,000132370308155203;0,00140520150746255
11;-0,144504113067209;-0,115587513982464;-0,18084520112241;-0,200326274850522;0,000612105589475286;-0,000596394843535798;0,00101725395194133;-0,000712231807911605
12;-0,087429918455302;0,025117416856877;0,119570727752339;-0,0887228201353142;-0,000118316064594642;-0,00040083951125101;0,000413478787182372;0,00054813651061672
13;-0,125697055446628;-0,0487642148592406;0,447955334628269;0,0775810516476951;0,000141609285166823;-0,000601055547297062;-6,64653248169118E-05;0,00209435827239195
14;-0,12873953476838;-0,0108494157888434;0,120197327964498;-0,137823442283031;-0,000109541503779145;-0,000584121548897726;0,000760336398796228;0,00036422513326563
15;-0,103315223947077;-0,082592964989195;0,452902560141653;0,0425022224556445;0,000164438866836381;-0,000583552202315425;0,000637941454148555;0,00199705872608808
16;-0,116637992920113;-0,0704031716608542;0,125424365597927;0,0271886297478788;5,61839380581543E-06;-0,000626616425123392;0,000186621962729636;0,000562089686016762
17;-0,0871025345124194;-0,119695960228003;0,218078017860466;0,0303212690198246;0,000186405207983325;-0,00065470626135412;0,000510747658016265;0,000877281154852249
18;-0,0811627843108268;-0,10502074416698;0,118721024021292;-0,0597206941774882;7,12034135618851E-05;-0,000607082841860829;0,000583488100932594;0,000186024796474963
19;-0,0611941403955236;-0,142292647115994;0,126083693409796;-0,0628668303810694;0,000167436314788034;-0,000693701575695007;0,000638391983715475;0,000116682133521352
20;-0,0639942230074281;-0,128716247545355;0,158233333636108;-0,00785581842053453;3,31973861192338E-05;-0,000660864408202773;0,000653856450151748;0,000325299822447699
21;-0,0364456032438582;-0,156735471399954;0,0646059934940666;-0,107378303456036;0,000111397472510594;-0,000733623954480736;0,00045905861879925;-0,00034852140041975
22;-0,0229737368941913;-0,146635896352766;0,131025264322731;0,0793521446457997;6,31526696022407E-05;-0,000680036726268355;0,000495985314331959;0,000503047615642824
23;-0,00240345214705368;-0,141411815210992;0,0152085835875697;-0,0286112981031259;6,39249413304135E-05;-0,000648631833184605;8,4616740935547E-05;-0,000121757259314603
24;0,0193112781601904;-0,140698739995017;0,0708014595518009;0,0452881177560047;7,87989149462016E-05;-0,000649194474219011;0,000329437589164212;0,000204341788547692
25;0,0372166777653621;-0,126753402700721;0,0617833728689526;0,0353651480487922;8,39180139066718E-05;-0,000602625282454069;0,000305405254134576;0,00012017958943064
26;0,0387353694847423;-0,131707146201973;0,0533157187544864;0,00024783429037505;4,40178463191056E-06;-0,00063254494528887;0,00023637432691217;-6,5608656571906E-05
27;0,0508874513961447;-0,113991646597591;0,0235667548676332;-0,022656542534199;5,01615602052417E-06;-0,000575305679619973;5,77721710808512E-05;-0,000138068358355349
28;0,0532390753587085;-0,11244905822265;-0,0126452168620875;-0,0142300216215654;-5,77810099709763E-05;-0,000570293359169814;-8,36437063553079E-05;-2,50343288704982E-05
29;0,0517186631783436;-0,101592347415225;0,00514686625604694;0,0388258875351609;-0,000105966431198107;-0,000514100562990161;0,000130404666643629;0,000125787739731956
30;0,0594074299577868;-0,0895024818578104;0,0290909378726204;-0,023546643891419;-0,000108023455416178;-0,000483239326673361;1,46981655997934E-05;-0,000170957165917982
