Index;Source Image;Area;Perimeter;Width;Height;Rotation Angle;Segmentation Method;Optimization Method;Best Template (EFDIs);Template Difference (EFDIs);Hu-Match for best EFDIs-Template;Standard Deviation;Width/Height Ratio;Smoothed Perimeter Ratio;Compactness Ratio;Quality Indicators;Template is convex;Convexity is used;Rectangularity;Compactness;Ellipticity;Triangularity;Roundness;Convexity by Perimeter;Convexity by Area;Formfactor;CDF;PCAF;CHMDF;CDF-Match;PCAF-Match;(non-)Convexity Indicators;Ranking Index;Contour Image;Contour Image top left Corner;mu-00;mu-20;mu-11;mu-02;mu-30;mu-21;mu-12;mu-03;Hu-1;Hu-2;Hu-3;Hu-4;Hu-5;Hu-6;Hu-7
1;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002246ca.jpg";893,47667638484;150,224290332016;64,796142578125;16,3277077188297;0,0157318333779135;"RATS, sigma=4.00";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.70.tif";6,17380347493151E-06;0,135866778014632;16,5640737717943;3,96847761449084;0,995759646092559;0,981883390141605;0;False;False;0,844517882587465;0,520532100429665;0,98390741964732;0,695104006666531;0,270953667577718;0,963957012920881;0,980086347697966;0,497522541045234;1,02885446060737;2,03182631293738;86,8676829338074;0,998456024300262;0,974078680832922;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000001";"{X=15,Y=64}";85809,5;2452823147,0234;634414,970479965;142266218,190048;270729822,905273;368047730,539795;15123654,2311249;-14671830,9099121;0,352437064363874;0,0984672914979245;2,79970389571006E-07;4,44043562941168E-08;1,32493032217377E-15;-2,90372903850787E-09;-4,77044328394942E-15
2;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002439ca.jpg";1013,32778009163;162,747547748137;70,92181770169;16,8496486118862;0,197511724670309;"Otsu's Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.70.tif";7,43975764991473E-06;0,0554623849384381;22,909506092732;4,20909772870041;0,998074476113484;0,990929472438014;0;False;False;0,847967568740331;0,506465860270849;0,9813676600971;0,696902921702261;0,256507667619891;0,968216536608823;0,9785871221072;0,480762855559645;1,0273541176598;2,18814221126182;94,4734477996826;0,999914164613096;0,953272353399274;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000002";"{X=11,Y=28}";97320;3360772405,5541;10991676,6327305;172269528,901966;-2347010930,88867;264999335,058411;114108661,540543;-8728858,2611084;0,373030714143576;0,11334069437216;9,0247168468405E-07;5,78644975034651E-07;4,17578858277433E-13;1,89433108324767E-07;2,19023138402416E-14
3;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002342ca.jpg";555,211370262391;113,988300938996;48,4772756148358;14,1919194435587;0,261815189755273;"RATS, sigma=3.00";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";7,72440437108454E-06;0,0293796555553976;18,5474030240925;3,41583644183087;0,999475610442156;0,995644024404105;0;False;False;0,807010172937854;0,548461352441657;0,988983109591097;0,691536572215628;0,300809855122131;0,960431143842412;0,974630098427176;0,536967072401686;1,03361467153358;2,60302874021286;108,706775665283;0,998312491305223;0,915811803435529;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000003";"{X=82,Y=115}";53322,5;826946197,541906;3492750,10585022;62612131,9737387;-633795566,996094;-192229615,501617;43995485,7845764;13574538,3691406;0,312862437677019;0,072270439271591;2,16861025612651E-06;8,81011550776233E-07;1,18688213976799E-12;1,98226951401389E-07;-2,72507109360139E-13
4;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002227ca.jpg";536,214077467722;113,738948690648;48,2668911680883;13,6772591727121;0,0762487913717378;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";8,20710252475699E-06;0,0380261612880131;17,6421914880623;3,52898856112833;0,991299011543688;0,991344761705596;0;False;False;0,812250164262757;0,541345882568108;0,987196345299062;0,69278821061538;0,293055364573444;0,955016054643626;0,970973367900071;0,520870373773055;1,03849859034022;2,98943648297021;124,581380367279;0,996979546524646;0,950787352933126;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000004";"{X=20,Y=16}";51498;794257754,064837;981398,981733084;56804925,2183042;-1419740328,33496;-251627938,14711;87797812,8674622;12966416,086792;0,32090820438858;0,0773232530285183;9,44921785606988E-06;5,05526224312968E-06;3,47508063327793E-11;1,31955648047105E-06;-3,62381231931047E-12
5;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002416ca.jpg";598,589129529363;111,827936294127;46,1231652084662;15,4127813845265;-0,037078405676598;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.131.tif";8,25889534786088E-06;0,00832482489719844;18,9210271938423;2,99252704996978;0,99386090220525;0,996628674692582;0;False;False;0,842032208842867;0,598549908866942;0,988981158314333;0,691537936629129;0,358261993404625;0,957409725829797;0,987690060991324;0,601503375710656;1,0284741302089;1,24633622376649;40,5093379020691;0,997117301291748;0,989258814242011;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000005";"{X=33,Y=8}";57488,5;814720986,203153;-471686,072990417;85843742,0626117;54400296,5288086;57485559,7038727;1941143,32962418;-4107419,02462769;0,272491512212828;0,0486391080565847;5,3405766247759E-08;9,59290331483982E-09;1,22227910633342E-16;1,11460780885627E-10;-1,7945927758667E-16
6;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002341ca.jpg";875,963140358184;150,154260640242;65,0017874581473;15,9234821553133;0,0685527225172715;"RATS, sigma=3.00";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.70.tif";8,68350266137034E-06;0,0464708578909414;18,245959414986;4,08213397196277;0,997514899963498;0,994797658593588;0;False;False;0,846296387507913;0,513774654606635;0,982556230214182;0,696059898207247;0,263964395716167;0,964765107532919;0,978346193430593;0,488225407071797;1,0293274017919;2,2133071825503;99,9363460540771;0,997997267471279;0,942433789465391;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000006";"{X=43,Y=93}";84127,5;2430557442,43285;2749175,11159611;132824768,97971;2735369487,25586;-677557584,079346;-169722108,440918;25556832,8897705;0,362190787539608;0,105402170348663;3,50343581977776E-06;1,66296296103123E-06;3,94817410400865E-12;4,73771440202508E-07;7,23630321634318E-13
7;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002313ca.jpg";565,941274468971;115,983846698489;49,3914047552615;14,1899093316526;-0,153466513222535;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";8,82716461362341E-06;0,00192611226438622;17,0496738593689;3,48074139170763;0,996355811735612;0,99526617286769;0;False;False;0,80749598152383;0,54348725645584;0,988823345263516;0,691648303877291;0,295378397929896;0,957188131329507;0,969740762547057;0,528671885831775;1,03796506590616;3,12034294335179;134,728098869324;0,997492003991474;0,910899363309026;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000007";"{X=52,Y=81}";54353;869703994,881726;-2157367,55638599;64271781,4744353;557043273,975586;100828537,806854;-41851025,8037071;-6967991,44000244;0,316146641657321;0,0743320951838953;1,18409430683998E-06;5,78098557053257E-07;4,75136314574271E-13;1,47185735704873E-07;-5,48792350955188E-14
8;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002340ca.jpg";462,89566847147;105,451887140469;45,4099040128747;13,0653225645727;-0,0769240149985132;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.163.tif";8,94504891865845E-06;0,026626434644644;17,470834198107;3,47560527407153;0,995894596715257;0,995272702223025;0;True;False;0,780211588652779;0,534621024575658;0,996570092347546;0,686271838616715;0,285819639918327;0,952964442951598;0,987669817713251;0,523099456251913;1,03092060460758;1,24841136841632;13,9186193943024;0,998279810904277;0,873444505102638;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000008";"{X=11,Y=105}";44456,5;571830756,487398;-709452,132326126;43406502,2845635;-99861399,8222656;35106905,6312103;6609348,48420715;-3103666,2623291;0,311294961832498;0,0714870777579736;1,50194741486638E-07;5,5975339085486E-08;4,96550765364751E-15;1,18368447395075E-08;1,29826890175633E-15
9;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002326ca.jpg";572,65201999167;118,492600431248;50,3095883739238;13,8884517124721;0,118023502227644;"Canny Edge Detector";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";9,20416537487391E-06;0,0972646010324457;18,0657076599237;3,62240438426587;0,991352573196507;0,982877904373077;0;False;False;0,819570277299404;0,536722366580224;0,985340284656131;0,694093198294899;0,288070898787476;0,95568453815169;0,969383708325622;0,512528712185442;1,03897682037345;3,15832537842629;135,399528503418;0,996520647392038;0,899944768142037;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000009";"{X=32,Y=67}";54997,5;928402577,939327;1781958,9143281;63336336,9143546;-1730145431,64844;-207468730,308929;113101741,621033;14746686,7620239;0,327877381515492;0,0817964218170521;9,31810279863968E-06;5,27052898205292E-06;3,6875202022832E-11;1,4665996410383E-06;-2,11125296833983E-12
10;"C:\Users\mkloster\Diatomeen\Aufnahmen Sellaphora (Mann et al 2003)\backups\working_docs\mannetal2004\outline_focus\002228ca.jpg";549,916701374427;116,23744679957;49,4984155771684;13,6962376808634;0,433459041210579;"Adaptive Thresholding";"not optimized";"C:\Users\mkloster\Diatomeen\Templates\ADIAC\Sellaphora pupula.115.tif";9,48646929070473E-06;0,0887870725887137;18,3846285106693;3,61401552240353;0,99294053258146;0,978953570677333;0;False;False;0,811155893862958;0,534579396777913;0,986212010279254;0,693479680289153;0,285775131459437;0,954595129576501;0,966192235922579;0,511463504260951;1,04127762699245;3,49907221570038;173,94930267334;0,994318735776872;0,81230629869582;0;0;"C:\Users\mkloster\Diatomeen\Export Data for Paper\Sellaphora with RATS with contour optimization.new rectangularity\Sellaphora with RATS with contour optimization.new rectangularity.000010";"{X=33,Y=13}";52814;853168127,495915;6011607,24339819;58598386,6378543;-938465793,723633;-24113728,2783661;55083317,965786;1488061,17126465;0,326877867390725;0,0811647075866061;2,97788607617363E-06;1,90036515394573E-06;4,52051366971572E-12;5,4105060179051E-07;-4,53367553803744E-14
