Image FileName	Deme	DemeNumber
2226	capitate	2
2227	capitate	2
2228	capitate	2
2229	rectangular	1
2230	capitate	2
2231	capitate	2
2232	rectangular	1
2233	capitate	2
2234	capitate	2
2235	capitate	2
2236	capitate	2
2237	rectangular	1
2238	capitate	2
2239	capitate	2
2240	capitate	2
2241	capitate	2
2242	capitate	2
2243	capitate	2
2244	capitate	2
2245	capitate	2
2246	rectangular	1
2247	rectangular	1
2248	capitate	2
2249	capitate	2
2250	capitate	2
2251	capitate	2
2252	capitate	2
2253	capitate	2
2254	capitate	2
2255	capitate	2
2256	capitate	2
2257	capitate	2
2258	capitate	2
2259	capitate	2
2260	capitate	2
2261	capitate	2
2262	capitate	2
2263	capitate	2
2264	capitate	2
2265	capitate	2
2266	capitate	2
2267	capitate	2
2268	capitate	2
2269	capitate	2
2270	capitate	2
2271	capitate	2
2272	rectangular	1
2273	capitate	2
2274	capitate	2
2275	capitate	2
2276	capitate	2
2277	capitate	2
2278	capitate	2
2279	capitate	2
2280	capitate	2
2281	capitate	2
2282	capitate	2
2283	capitate	2
2284	capitate	2
2285	capitate	2
2286	capitate	2
2287	capitate	2
2288	capitate	2
2289	capitate	2
2290	capitate	2
2291	capitate	2
2292	capitate	2
2293	capitate	2
2294	capitate	2
2295	capitate	2
2296	capitate	2
2297	capitate	2
2298	capitate	2
2299	capitate	2
2300	capitate	2
2301	capitate	2
2302	capitate	2
2303	capitate	2
2304	capitate	2
2305	capitate	2
2306	capitate	2
2307	capitate	2
2308	capitate	2
2309	capitate	2
2310	capitate	2
2311	capitate	2
2312	capitate	2
2313	capitate	2
2314	capitate	2
2315	capitate	2
2316	capitate	2
2317	capitate	2
2318	capitate	2
2319	capitate	2
2320	capitate	2
2321	capitate	2
2322	capitate	2
2323	capitate	2
2324	capitate	2
2325	capitate	2
2326	capitate	2
2327	capitate	2
2328	capitate	2
2329	capitate	2
2330	capitate	2
2331	capitate	2
2332	capitate	2
2333	capitate	2
2334	capitate	2
2335	capitate	2
2336	rectangular	1
2337	neat	6
2338	lanceolate	4
2339	lanceolate	4
2340	neat	6
2341	rectangular	1
2342	capitate	2
2343	lanceolate	4
2344	obese	5
2345	obese	5
2346	rectangular	1
2347	capitate	2
2348	rectangular	1
2349	rectangular	1
2350	obese	5
2351	obese	5
2352	obese	5
2353	rectangular	1
2354	obese	5
2355	small	3
2356	rectangular	1
2357	obese	5
2358	obese	5
2359	obese	5
2360	obese	5
2361	obese	5
2362	obese	5
2363	rectangular	1
2364	obese	5
2365	rectangular	1
2366	obese	5
2367	obese	5
2368	rectangular	1
2369	obese	5
2370	obese	5
2371	capitate	2
2372	capitate	2
2373	obese	5
2374	obese	5
2375	obese	5
2376	obese	5
2377	rectangular	1
2378	obese	5
2379	obese	5
2380	capitate	2
2381	obese	5
2382	obese	5
